id,title,provider,program_type,duration_weeks,prerequisites,outcomes,skill_tags,level,link,popularity_score,is_free,free_link,notes,first_project,hours_per_week,cost_estimate_usd,mode,credential
c1,Python for Everybody,Coursera,certification,4,none,"Python programming, data manipulation, scripting","python,data-manipulation,programming",beginner,https://www.coursera.org/learn/python,8,yes,https://www.coursera.org/learn/python?authMode=signup,Free audit available,Write a script that parses CSV and outputs summary stats,6,0,self-paced,certificate
c2,Intro to Data Science,edX,specialization,8,basic Python,"Exploratory Data Analysis, statistics, visualization","python,data-science,statistics",beginner,https://www.edx.org/course/data-science,7,yes,https://www.edx.org/course/data-science,Free audit available,EDA notebook on Titanic dataset,8,0,self-paced,certificate
c3,Machine Learning Specialization,Coursera,specialization,20,"Python;calculus;linear algebra","Supervised learning, model evaluation, sklearn","ml,sklearn,algorithms,statistics",intermediate,https://www.coursera.org/specializations/machine-learning,9,yes,https://www.coursera.org/specializations/machine-learning?authMode=signup,Audit available,Train a logistic regression and report metrics,10,0,self-paced,certificate
c4,Deep Learning with PyTorch,Udacity,certification,10,"Python;ML basics","Neural networks, CNNs, PyTorch training","deep-learning,pytorch,neural-networks",intermediate,https://www.udacity.com/course/deep-learning-pytorch--nd188,7,yes,https://www.udacity.com/course/deep-learning-pytorch--nd188,Free materials available,Train a small CNN on MNIST,12,0,self-paced,certificate
c5,MLOps Foundations,Coursera,certification,6,"Python;Docker","Deployment, monitoring, CI/CD for ML","mlops,docker,deployments",intermediate,https://www.coursera.org/learn/mlops-fundamentals,6,yes,https://www.coursera.org/learn/mlops-fundamentals?authMode=signup,Audit available,Containerize a small model with Docker,6,0,self-paced,certificate
c6,Full-Stack Web Development,freeCodeCamp,curated_path,12,none,"Frontend + backend + deployment, portfolio","html,css,js,react,node",beginner,https://www.freecodecamp.org/learn,9,yes,https://www.freecodecamp.org/learn,Completely free path,Create a 3-page portfolio website,10,0,self-paced,none
c7,Frontend Developer Nanodegree,Udacity,certification,12,"HTML;CSS;JS","Advanced React, UI performance","react,frontend,ui",intermediate,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,7,no,https://www.freecodecamp.org/learn,Paid nanodegree; free alternative exists,Recreate a modern landing page with interactive components,12,399,self-paced,certificate
c8,Google Data Analytics Professional Certificate,Coursera,certification,12,"Excel;basic-sql","Data cleaning, analysis, visualization","sql,excel,data-analysis,etl",beginner,https://www.coursera.org/professional-certificates/google-data-analytics,8,yes,https://www.coursera.org/professional-certificates/google-data-analytics?authMode=signup,Audit possible,End-to-end analysis and 5 charts,8,49,self-paced,certificate
c9,SQL for Data Science,Coursera,certification,4,none,"SQL queries, joins, aggregates, window functions","sql,data-manipulation,queries",beginner,https://www.coursera.org/learn/sql-for-data-science,8,yes,https://www.coursera.org/learn/sql-for-data-science?authMode=signup,Audit available,Write 5 SQL queries for business questions,6,0,self-paced,certificate
c10,Applied Data Science with Python,Coursera,specialization,16,Python,"Pandas, sklearn, viz, cleaning","pandas,sklearn,viz,data-cleaning",intermediate,https://www.coursera.org/specializations/data-science-python,8,yes,https://www.coursera.org/specializations/data-science-python?authMode=signup,Audit available,End-to-end notebook with model training,8,0,self-paced,certificate
c11,AI for Everyone,Coursera,certification,2,none,"AI concepts, product, ethics","ai-concepts,product,ethics",beginner,https://www.coursera.org/learn/ai-for-everyone,6,yes,https://www.coursera.org/learn/ai-for-everyone?authMode=signup,Free to audit,Write a 1-page AI impact summary,4,0,self-paced,certificate
c12,Cloud Fundamentals (AWS),AWS Training,certification,6,none,"Cloud basics, core services, IAM","aws,cloud-basics,iaas",beginner,https://www.aws.training,7,yes,https://www.aws.training,AWS training free tier modules,Deploy a static site on S3,6,0,self-paced,certificate
c13,Kubernetes in Action,Pluralsight,certification,6,Docker,"Kubernetes fundamentals, manifests, pods","kubernetes,containers,orchestration",intermediate,https://www.pluralsight.com/courses/kubernetes,6,no,https://kubernetes.io/docs/home/,Paid; docs free,Run an app using Minikube and kubectl commands,8,0,self-paced,certificate
c14,Natural Language Processing,Coursera,specialization,8,Python,"Text preprocessing, transformers, classification","nlp,transformers,text-preprocessing",intermediate,https://www.coursera.org/learn/nlp,7,yes,https://www.coursera.org/learn/nlp?authMode=signup,Audit available,Build a text classifier and show confusion matrix,10,0,self-paced,certificate
c15,Data Engineering Foundations,edX,certification,8,"SQL;Python","ETL, data pipelines, Airflow basics","data-pipelines,etl,airflow",intermediate,https://www.edx.org/course/data-engineering,6,yes,https://www.edx.org/course/data-engineering,Audit available,Create a small ETL pipeline script,8,0,self-paced,certificate
c16,Cybersecurity Basics,Coursera,certification,4,none,"Security foundations, threat models","security,networking,threat",beginner,https://www.coursera.org/learn/cyber-security-basics,5,yes,https://www.coursera.org/learn/cyber-security-basics?authMode=signup,Audit available,Perform a basic security checklist and report,5,0,self-paced,certificate
c17,Product Management Basics,Coursera,certification,6,none,"Product discovery, roadmaps, stakeholder mgmt","product,stakeholder,roadmap",beginner,https://www.coursera.org/learn/product-management,6,yes,https://www.coursera.org/learn/product-management?authMode=signup,Audit available,Draft a one-page product spec and KPIs,4,0,self-paced,certificate
c18,Applied Machine Learning in Production,Coursera,certification,6,"ML;MLOps basics","Deploying models, monitoring, inference","mlops,model-deployment,monitoring",advanced,https://www.coursera.org/learn/ml-production,6,no,https://www.coursera.org/learn/ml-production?authMode=signup,Advanced; audit limited,Deploy a model behind a simple API and show monitoring,8,0,self-paced,certificate
